frame,timestamp,left_vehicle,right_vehicle,left_distance,right_distance,slope_diff,left_slope,right_slope,road,decision
120,2025-06-23 10:56:03,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 10:56:03,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 10:56:04,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 10:56:05,none,truck,-1,1.95,20,320,300,wet,BOTH GREEN
240,2025-06-23 10:56:05,none,truck,-1,1.02,20,320,300,wet,BOTH GREEN
270,2025-06-23 10:56:06,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 10:56:07,car,none,20.27,-1,20,320,300,wet,BOTH GREEN
330,2025-06-23 10:56:08,car,none,12.5,-1,20,320,300,wet,BOTH GREEN
360,2025-06-23 10:56:08,car,none,6.3,-1,20,320,300,wet,BOTH GREEN
390,2025-06-23 10:56:09,car,none,35.71,-1,20,320,300,wet,BOTH GREEN
420,2025-06-23 10:56:10,car,none,34.09,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 10:57:17,truck,none,6.47,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 10:57:17,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 10:57:18,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 10:57:19,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 10:57:19,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 10:57:20,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 10:57:21,none,truck,-1,1.95,20,320,300,wet,BOTH GREEN
240,2025-06-23 10:57:21,none,truck,-1,1.02,20,320,300,wet,BOTH GREEN
270,2025-06-23 10:57:22,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 10:57:23,car,none,20.27,-1,20,320,300,wet,BOTH GREEN
330,2025-06-23 10:57:23,car,none,12.5,-1,20,320,300,wet,BOTH GREEN
360,2025-06-23 10:57:24,car,none,6.3,-1,20,320,300,wet,BOTH GREEN
390,2025-06-23 10:57:25,car,none,35.71,-1,20,320,300,wet,BOTH GREEN
420,2025-06-23 10:57:26,car,none,34.09,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:07:52,truck,none,6.47,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:07:53,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:07:54,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:07:54,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:07:55,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:07:56,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 11:07:56,none,truck,-1,1.95,20,320,300,wet,BOTH GREEN
240,2025-06-23 11:07:57,none,truck,-1,1.02,20,320,300,wet,BOTH GREEN
